GÖKHAN-Hamzaoğlu-1030520000-2,004-4954-1220-4-E
NAZLI-Tokatlıoğlu-1030520001-3,939-153-35-4-K
ALMİLA-Mayhoş-1030520002-3,689-763-188-4-K
HATİCE-Topaloğlu-1030520003-2,145-4611-1132-4-K
ELÇİN-Numanoğlu-1030520004-1,508-6152-1516-4-K
NURAN-Çetiner-1030520005-3,25-1856-463-4-K
ERKAN-Balaban-1030520006-1,093-7183-1769-4-E
AYFER-Günday-1030520007-1,616-5886-1456-4-K
FİLİZ-Sandalcı-1030520008-3,012-2428-589-4-K
SEFA-Öztonga-1030520009-0,45-8793-2189-4-E
AYFER-Ağaoğlu-1030520010-2,155-4573-1120-4-K
CEREN-Özberk-1030520011-2,863-2837-690-4-K
RAMAZAN-Sadıklar-1030520012-2,14-4626-1139-4-E
MECNUN-Ozansoy-1030520013-0,132-9637-2390-4-E
ECE-Nalbantoğlu-1030520014-0,766-7993-1993-4-K
BERKAN-Poyrazoğlu-1030520015-0,886-7697-1912-4-E
İREM-Adal-1030520016-3,655-852-211-4-K
CANSEL-Adıvar-1030520017-1,833-5379-1322-4-K
NİMET-Duygulu-1030520018-2,187-4500-1104-4-K
İBRAHİM-Dizdar -1030520019-1,04-7307-1807-4-E
EREN-Kutlay-1030520020-3,571-1064-267-4-E
ŞEVVAL-Akgül-1030520021-3,491-1269-313-4-K
DESTAN-Babacan-1030520022-3,86-345-83-4-K
YASEMİN-Kunt-1030520023-0,697-8143-2040-4-K
MİNE-Özkara-1030520024-2,161-4560-1116-4-K
İREM-Topçuoğlu-1030520025-3,289-1756-439-4-K
TAHSİN-Çetin-1030520026-3,566-1080-271-4-E
NİHAL-Topaloğlu-1030520027-1,533-6090-1502-4-K
SEYİT-Özkara-1030520028-1,433-6359-1567-4-E
NESLİHAN-Pekkan-1030520029-1,624-5870-1450-4-K
CAN-Kavaklıoğlu-1030520030-0,406-8903-2220-4-E
HALİL-Yılmazer-1030520031-1,823-5405-1331-4-E
