GAMZE-Özbir-1030524731-4-1-1-3-K
CANAN-Çevik-1030522093-3,999-2-1-4-K
CANSEL-Polat-1030522756-3,999-3-2-3-K
NAZİK-Topçuoğlu-1030528431-3,999-5-1-1-K
GÖZDE-Kasapoğlu-1030522147-3,998-6-2-4-K
NAZİK-Ertürk-1030522897-3,997-7-4-3-K
SEMA-Sözeri-1030526724-3,997-9-1-2-K
BİLGE-Kunt-1030521296-3,996-10-3-4-K
ALİSA-Küçükler-1030527709-3,996-11-2-1-K
DİLBERAYELA-Tahincioğlu-1030520580-3,995-12-4-4-K
AYŞE-Atakol-1030522989-3,995-13-6-3-K
GÜLNİHAL-Erdoğan-1030522335-3,994-15-5-4-K
BÜŞRA-Yılmazer-1030522676-3,994-16-7-3-K
FAZİLET-Küçükler-1030527637-3,994-18-3-1-K
GONCA-Sadıklar-1030520877-3,993-20-7-4-K
FAZİLET-Ilıcalı-1030525203-3,992-23-5-2-K
ESRA-Arıcan-1030525297-3,991-24-6-2-K
ASLIHAN-Tokgöz-1030525552-3,991-25-7-2-K
HATİCE-Mayhoş-1030521794-3,99-26-9-4-K
DİCLE-Kahveci-1030527603-3,989-28-4-1-K
ÇİLAY-Çamdalı-1030525793-3,988-29-8-2-K
EDA-Alyanak-1030527323-3,987-32-9-2-K
EMİNE-Tunaboylu-1030522129-3,986-34-11-4-K
DİLEK-Ertürk-1030523371-3,986-36-10-3-K
FULYA-Eronat-1030525262-3,984-39-11-2-K
EMİNE-Kurutluoğlu-1030523012-3,983-42-12-3-K
SEFANUR-Kutlay-1030526632-3,983-43-12-2-K
AYFER-Kulaksızoğlu-1030524343-3,982-44-13-3-K
İREM-Uluhan-1030529207-3,982-46-9-1-K
ECENUR-Okur-1030522685-3,981-47-14-3-K
DENİZ-Oraloğlu-1030529205-3,981-49-11-1-K
RUKİYE-Koçyiğit-1030524089-3,98-50-15-3-K
EMİNE-Körmükçü-1030527468-3,98-51-13-2-K
CANSU-Avan-1030524687-3,979-53-16-3-K
SÜMEYRA-Bakırcıoğlu-1030527054-3,979-54-14-2-K
SÜMEYRA-Tokatlıoğlu-1030521459-3,978-55-14-4-K
AYSU-Babaoğlu-1030526132-3,977-57-15-2-K
YELİZ-Akay-1030522988-3,976-61-17-3-K
ASLI-Alnıaçık-1030523107-3,974-63-18-3-K
GÖKÇE-Gümüşpala-1030522301-3,973-66-15-4-K
FADİME-Uluhan-1030523639-3,973-67-21-3-K
NAZ-Avan-1030526583-3,973-68-17-2-K
DİLEK-Adal-1030520055-3,97-71-16-4-K
CANAN-Koyuncu-1030523744-3,968-73-22-3-K
ESRA-Tunçeri-1030528150-3,968-75-18-1-K
FERDANE-Akan-1030526526-3,967-76-19-2-K
ASLIM-Sadıklar-1030523295-3,966-78-23-3-K
FİDAN-Köybaşı-1030525668-3,966-79-20-2-K
FADİME-Ertepınar-1030524513-3,965-81-25-3-K
MELEK-Bakırcıoğlu-1030525092-3,965-82-21-2-K
MİHRİBAN-Keçeci-1030523928-3,964-83-26-3-K
SÜHEYLA-Yıldırım -1030525907-3,964-84-22-2-K
CANSU-Uluhan-1030521188-3,963-86-18-4-K
FADİME-Öztuna-1030527590-3,963-87-21-1-K
GÖKÇEN-Pekkan-1030524401-3,962-89-27-3-K
RUKİYE-Kaya -1030527985-3,962-90-22-1-K
YELİZ-Ayverdi-1030528609-3,962-91-23-1-K
EDA-Kunter-1030529141-3,962-92-24-1-K
MELEK-Hamzaoğlu-1030529532-3,962-94-26-1-K
AHU-Özdoğan-1030528747-3,961-97-27-1-K
MEHTAP-Nalbantoğlu-1030525557-3,96-98-24-2-K
NEŞE-Paksüt-1030522602-3,959-100-29-3-K
NESLİHAN-Tazegül-1030528689-3,957-103-28-1-K
HATİCE-Pekkan-1030523224-3,956-105-30-3-K
ŞEVVAL-Tekelioğlu-1030524213-3,956-106-31-3-K
