SEMA-Sözeri-1030526724-3,997-9-1-2-K
CAFE-Kunt-1030525351-3,995-14-2-2-E
CANER-Alpuğan-1030525997-3,994-17-3-2-E
FİKRET-Çapanoğlu-1030525075-3,992-22-4-2-E
FAZİLET-Ilıcalı-1030525203-3,992-23-5-2-K
ESRA-Arıcan-1030525297-3,991-24-6-2-K
ASLIHAN-Tokgöz-1030525552-3,991-25-7-2-K
ÇİLAY-Çamdalı-1030525793-3,988-29-8-2-K
EDA-Alyanak-1030527323-3,987-32-9-2-K
MUSA-Yılmazer-1030525722-3,986-38-10-2-E
FULYA-Eronat-1030525262-3,984-39-11-2-K
SEFANUR-Kutlay-1030526632-3,983-43-12-2-K
EMİNE-Körmükçü-1030527468-3,98-51-13-2-K
SÜMEYRA-Bakırcıoğlu-1030527054-3,979-54-14-2-K
AYSU-Babaoğlu-1030526132-3,977-57-15-2-K
SİNAN-Akman-1030527281-3,977-58-16-2-E
NAZ-Avan-1030526583-3,973-68-17-2-K
ERSİN-Öymen-1030526906-3,968-74-18-2-E
FERDANE-Akan-1030526526-3,967-76-19-2-K
FİDAN-Köybaşı-1030525668-3,966-79-20-2-K
MELEK-Bakırcıoğlu-1030525092-3,965-82-21-2-K
SÜHEYLA-Yıldırım -1030525907-3,964-84-22-2-K
ALP-Evliyaoğlu-1030527419-3,961-96-23-2-E
MEHTAP-Nalbantoğlu-1030525557-3,96-98-24-2-K
ADEM-Bakırcıoğlu-1030526025-3,958-102-25-2-E
MELEK-Hamzaoğlu-1030525077-3,956-107-26-2-K
MELODİ-Akyürek-1030525832-3,955-110-27-2-K
FAZIL-Velioğlu-1030526595-3,955-111-28-2-E
RECEP-Karaböcek-1030526817-3,955-112-29-2-E
AYFER-Nalbantoğlu-1030527283-3,954-113-30-2-K
EMRULLAH-Baturalp-1030527206-3,951-119-31-2-E
ONUR-Akyürek-1030526381-3,95-121-32-2-E
DİLARA-Tekand-1030526002-3,948-126-33-2-K
CİVAN-Akışık-1030525652-3,947-130-34-2-E
MAHMURE-Tüzün-1030526463-3,947-131-35-2-K
MERAL-Özbey-1030526708-3,947-132-36-2-K
DOĞAN-Baykam-1030525954-3,938-158-37-2-E
NEHİR-Gümüşpala-1030525296-3,937-161-38-2-K
EYLÜL-Alnıaçık-1030526704-3,936-163-39-2-K
ERKAN-Akan-1030526641-3,934-168-40-2-E
DENİZ-Kahveci-1030525835-3,93-173-41-2-K
TOPRAK-Özkara-1030525905-3,929-178-42-2-E
YÜSRA-Çetiner-1030525010-3,928-181-43-2-K
GONCA-Arslanoğlu-1030525453-3,927-183-44-2-K
ABDULLAH-Kaya -1030525170-3,925-189-45-2-E
İPEK-Eronat-1030525536-3,925-190-46-2-K
FEYZA-Aybar-1030526021-3,925-191-47-2-K
EMİR-Çapanoğlu-1030527013-3,924-192-48-2-E
HATİCE-Düşenkalkar-1030525025-3,917-204-49-2-K
ÇİCEK-Polat-1030525248-3,917-205-50-2-K
YUNUS-Başoğlu-1030526958-3,915-211-51-2-E
CANSEL-Gönültaş-1030525568-3,911-221-52-2-K
ÇİLENAY-Hamzaoğlu-1030525709-3,908-226-53-2-K
SEMİH-Toraman-1030526382-3,908-227-54-2-E
FATİH-Atakol-1030525899-3,907-230-55-2-E
AFŞIN-Numanoğlu-1030527112-3,906-233-56-2-E
NAZİK-Karaböcek-1030527463-3,906-234-57-2-K
HALDUN-Okumuş-1030526000-3,905-236-58-2-E
DAMLA-Tuğlu-1030525637-3,901-248-59-2-K
SENEM-Karaduman-1030526154-3,9-250-60-2-K
SAMİ-Eliçin-1030525589-3,899-251-61-2-E
ADEM-Korol-1030526066-3,899-252-62-2-E
MELİKE-Adal-1030526877-3,898-255-63-2-K
TAHA-Durak -1030526963-3,897-258-64-2-E
ANIL-Çatalbaş-1030526661-3,893-269-65-2-E
NAZİK-Koçyiğit-1030526953-3,891-273-66-2-K
GONCA-Kunter-1030526706-3,889-279-67-2-K
ENES-Abadan-1030526302-3,887-285-68-2-E
MELODİ-Yıldırım -1030527487-3,887-286-69-2-K
SEFANUR-Akışık-1030526317-3,886-289-70-2-K
MİNE-Özdenak-1030525827-3,885-292-71-2-K
AHENK-Denkel-1030525267-3,884-294-72-2-K
SÜHEYLA-Yılmazer-1030526459-3,883-297-73-2-K
KÜRŞAD-Atan-1030525505-3,88-303-74-2-E
ALP-Akgül-1030525781-3,88-304-75-2-E
SEVİL-Hamzaoğlu-1030526645-3,878-309-76-2-K
BÜLENT-Eronat-1030525967-3,877-310-77-2-E
MUSTAFA-Sinanoğlu-1030525807-3,874-316-78-2-E
HAZAN-Dizdar -1030526546-3,872-322-79-2-K
GÖZDE-Ayaydın-1030527413-3,867-332-80-2-K
RUKİYE-Yorulmaz-1030526647-3,866-335-81-2-K
BAHADIR-Küçükler-1030527293-3,866-336-82-2-E
ÖZKAN-Velioğlu-1030525595-3,863-340-83-2-E
ARİF-Avan-1030527098-3,863-341-84-2-E
HAYAL-Öztonga-1030525324-3,861-343-85-2-K
ERDEM-Duygulu-1030525775-3,859-350-86-2-E
BUĞRA-Hakyemez-1030525862-3,858-356-87-2-E
BERKAN-Tuğlu-1030526259-3,858-357-88-2-E
SUZAN-Kıraç -1030525901-3,857-364-89-2-K
GONCA-Bademci-1030525591-3,855-368-90-2-K
KEMAL-Kutlay-1030527033-3,855-369-91-2-E
CUMA-Karaböcek-1030526359-3,852-374-92-2-E
SÜMEYYE-Erkekli-1030525139-3,851-377-93-2-K
SÜMEYYE-Arıcan-1030525864-3,85-378-94-2-K
MELİSA-Çetiner-1030526617-3,85-379-95-2-K
MİRAY-Elçiboğa-1030526327-3,849-381-96-2-K
YAHYA-Erdoğan-1030526361-3,849-382-97-2-E
MERVE-Tuğlu-1030526927-3,848-386-98-2-K
BERFİN-Nebioğlu-1030525731-3,846-390-99-2-K
HALİME-Durak -1030525184-3,845-391-100-2-K
ALİ-Erkekli-1030526349-3,845-392-101-2-E
ÇAĞRI-Ertürk-1030526541-3,842-396-102-2-E
ESRA-Günday-1030525672-3,837-405-103-2-K
YÜSRA-Dalkıran-1030526461-3,833-411-104-2-K
ATAKAN-Egeli-1030527460-3,832-413-105-2-E
CEM-Eronat-1030526655-3,831-416-106-2-E
EYŞAN-Kahveci-1030525916-3,83-418-107-2-K
EKREM-Erkekli-1030526445-3,826-425-108-2-E
CAFE-Yıldırım -1030526464-3,826-426-109-2-E
FADİME-Kılıççı-1030526005-3,825-427-110-2-K
NEŞE-Nalbantoğlu-1030525217-3,823-432-111-2-K
AYFER-Sarıoğlu-1030525669-3,822-438-112-2-K
SEVGİ-Tokatlıoğlu-1030525130-3,82-442-113-2-K
TAYFUR-Menemencioğlu-1030525499-3,819-444-114-2-E
ANIL-Türkyılmaz-1030525751-3,819-445-115-2-E
FERHAN-Sezek-1030526703-3,818-450-116-2-K
TUĞBA-Ekici-1030525328-3,815-458-117-2-K
HABİBE-Tokatlıoğlu-1030526896-3,815-459-118-2-K
ŞEYDA-Demirbaş-1030526216-3,812-465-119-2-K
GİZEM-Tütüncü-1030525344-3,811-469-120-2-K
DERYA-Pekkan-1030526060-3,811-470-121-2-K
ÇETİN-Gümüşpala-1030526289-3,809-477-122-2-E
ENES-Kunter-1030526430-3,809-478-123-2-E
BAYRAM-Kaplangı-1030526662-3,806-482-124-2-E
BURHAN-Yalçın-1030526648-3,804-486-125-2-E
MUSA-Kunter-1030526535-3,803-489-126-2-E
SENEM-Topaloğlu-1030527486-3,803-490-127-2-K
OSMAN-Elçiboğa-1030527205-3,802-493-128-2-E
AYFER-Sadıklar-1030526688-3,799-501-129-2-K
HALİT-Paksüt-1030526054-3,797-508-130-2-E
TUNA-Balcı-1030525026-3,795-511-131-2-E
YUNUS-Biçer-1030525576-3,792-520-132-2-E
EDA-Yalçın-1030525494-3,79-523-133-2-K
CANSU-Erbulak-1030526633-3,79-524-134-2-K
FATİH-Okumuş-1030527418-3,79-525-135-2-E
TEVFİK-Ayverdi-1030525942-3,789-528-136-2-E
FAİK-Alyanak-1030526056-3,788-532-137-2-E
HİLMİ-Gönültaş-1030527383-3,784-544-138-2-E
HALDUN-Korol-1030526592-3,783-546-139-2-E
HAKAN-Bademci-1030525939-3,781-552-140-2-E
ŞULE-Akbulut-1030526700-3,779-558-141-2-K
ÇAĞATAY-Ilıcalı-1030527227-3,779-559-142-2-E
SEZER-Erbulak-1030527357-3,779-560-143-2-E
MAHMURE-Polat-1030526305-3,776-565-144-2-K
SEFANUR-Sözeri-1030526423-3,776-566-145-2-K
YASEMİN-Çatalbaş-1030525051-3,771-573-146-2-K
GÜLNİHAL-Doğan -1030525521-3,769-579-147-2-K
HATİCE-Menemencioğlu-1030527426-3,769-580-148-2-K
NAZİK-Kumcuoğlu-1030527257-3,766-583-149-2-K
GÖKHAN-Arıcan-1030525157-3,762-592-150-2-E
SEZER-Çetiner-1030525407-3,761-596-151-2-E
DEMET-Alnıaçık-1030525606-3,758-601-152-2-K
GONCA-Özkök -1030527465-3,757-603-153-2-K
SİNAN-Tokatlıoğlu-1030525004-3,756-607-154-2-E
TOPRAK-Gümüşpala-1030525484-3,755-611-155-2-E
ESRA-Ekici-1030525485-3,755-612-156-2-K
ÇİLAY-Topaloğlu-1030525458-3,754-614-157-2-K
VEYSEL-Tokatlıoğlu-1030526780-3,753-619-158-2-E
DEMET-Yalçın-1030526370-3,751-623-159-2-K
NAZİK-Tokatlıoğlu-1030526419-3,749-627-160-2-K
BUĞRA-Polat-1030525639-3,747-635-161-2-E
ÇİLENAY-Toraman-1030525319-3,743-643-162-2-K
DENİZ-Tuğluk-1030525643-3,741-645-163-2-K
BATUHAN-Tuğlu-1030525137-3,74-648-164-2-E
ESRA-Balcı-1030526494-3,74-649-165-2-K
AYŞEGÜL-Babacan-1030526139-3,739-651-166-2-K
BAHADIR-Sarıoğlu-1030526218-3,737-656-167-2-E
TEVFİK-Günday-1030526119-3,736-658-168-2-E
AYFER-Limoncuoğlu-1030526087-3,731-669-169-2-K
VEHBİ-Yeşilkaya-1030526922-3,731-670-170-2-E
CEYDA-Ilıcalı-1030526347-3,729-673-171-2-K
AHU-Alyanak-1030525919-3,728-675-172-2-K
SEYYİD-Adal-1030525755-3,727-679-173-2-E
SELÇUK-Özbey-1030527242-3,726-681-174-2-E
ALİ-Adıvar-1030525549-3,724-684-175-2-E
FURKAN-Hakyemez-1030526839-3,724-685-176-2-E
HALDUN-Ilıcalı-1030526870-3,719-692-177-2-E
FERDANE-Erkekli-1030527007-3,717-699-178-2-K
AHENK-Alpuğan-1030527436-3,714-707-179-2-K
MELEK-Aybar-1030527440-3,714-708-180-2-K
EDA-Ağaoğlu-1030525255-3,713-713-181-2-K
İDİL-Öymen-1030525859-3,713-714-182-2-K
DİLRUBA-Arslanoğlu-1030527050-3,708-724-183-2-K
MÜGE-Özdenak-1030527249-3,706-726-184-2-K
İHSAN-Avan-1030525657-3,704-731-185-2-E
SİBEL-Biçer-1030525632-3,703-734-186-2-K
GÜLNİHAL-Özdenak-1030525420-3,7-741-187-2-K
YELİZ-Korol-1030527386-3,695-751-188-2-K
TEVFİK-Karaduman-1030525766-3,688-767-189-2-E
BEKİR-Dağdaş-1030527137-3,688-768-190-2-E
KADİR-Tokatlıoğlu-1030525205-3,684-778-191-2-E
SAMET-Kuzucu-1030525684-3,683-780-192-2-E
RÜMEYSA-Türkyılmaz-1030527026-3,683-781-193-2-K
SEVİL-Limoncuoğlu-1030525276-3,682-786-194-2-K
BUĞRA-Kahveci-1030527377-3,682-787-195-2-E
ALİ-Ertürk-1030525369-3,681-792-196-2-E
SİNAN-Özdoğan-1030527102-3,68-794-197-2-E
DİLEK-Tokatlıoğlu-1030526487-3,679-797-198-2-K
PINAR-Mertoğlu-1030525742-3,678-798-199-2-K
NAZİK-Ozansoy-1030525815-3,677-803-200-2-K
CEM-Koçoğlu-1030525231-3,674-809-201-2-E
OKTAY-Çevik-1030526456-3,672-816-202-2-E
CAFE-Ozansoy-1030525185-3,67-819-203-2-E
NECLA-Hamzaoğlu-1030526265-3,67-820-204-2-K
ÖZGÜL-Sadıklar-1030527212-3,67-821-205-2-K
AFŞIN-Nalbantoğlu-1030526691-3,663-829-206-2-E
ALİ-Çatalbaş-1030525452-3,662-831-207-2-E
GÖZDE-Paksüt-1030525336-3,661-833-208-2-K
BÜŞRA-Aykaç-1030526402-3,66-836-209-2-K
BERAT-Hakyemez-1030525704-3,658-842-210-2-E
DEMET-Keçeci-1030526949-3,657-845-211-2-K
ERSİN-Köybaşı-1030525651-3,656-850-212-2-E
ÇAĞRI-Yorulmaz-1030526340-3,654-857-213-2-E
NURAN-Avan-1030526863-3,651-867-214-2-K
TUĞRAN-Akyürek-1030526026-3,65-870-215-2-E
BERRE-Öztuna-1030526065-3,649-873-216-2-K
DEMET-Yılmazer-1030525439-3,648-875-217-2-K
ATAKAN-Oraloğlu-1030527376-3,648-876-218-2-E
MELODİ-Erberk-1030525814-3,647-878-219-2-K
MEHMET-Kaya -1030526411-3,647-879-220-2-E
FAHRİ-Nalbantoğlu-1030526548-3,645-881-221-2-E
RABİA-Okumuş-1030527258-3,645-882-222-2-K
HALUK-Ilıcalı-1030527100-3,644-886-223-2-E
TAYFUR-Yorulmaz-1030525984-3,64-896-224-2-E
OKTAY-Ertürk-1030526602-3,64-897-225-2-E
TUĞRAN-Babaoğlu-1030525108-3,639-900-226-2-E
ÇAĞATAY-Tunaboylu-1030526523-3,639-901-227-2-E
SÜMEYRA-Karaböcek-1030526282-3,638-903-228-2-K
DİLAY-Küçükler-1030526425-3,635-909-229-2-K
SÜHEYLA-Çamdalı-1030526891-3,635-910-230-2-K
DİLEK-Sözeri-1030526968-3,632-918-231-2-K
EYŞAN-Tanrıkulu-1030526383-3,629-925-232-2-K
GAMZE-Durak -1030525467-3,628-931-233-2-K
DOĞUKAN-Gönültaş-1030525360-3,627-938-234-2-E
GÜLÇİN-Aydan-1030527316-3,627-939-235-2-K
EYLÜL-Erkekli-1030526357-3,626-940-236-2-K
ERDEM-Karabulut-1030526798-3,623-948-237-2-E
İPEK-Topçuoğlu-1030526084-3,621-953-238-2-K
SAİD-Durak -1030526944-3,621-954-239-2-E
FAZLI-Adan-1030526114-3,614-971-240-2-E
BERKAN-Orbay-1030526599-3,614-972-241-2-E
ÇINAR-Kasapoğlu-1030525745-3,613-975-242-2-E
BEKİR-Tanrıkulu-1030525817-3,613-976-243-2-E
SERGEN-Çevik-1030527116-3,613-977-244-2-E
YÜSRA-Ağaoğlu-1030526235-3,612-981-245-2-K
YILDIZ-Erkekli-1030525665-3,611-986-246-2-K
BAKİ-Adıvar-1030526167-3,606-995-247-2-E
ERTAN-Akışık-1030526882-3,604-998-248-2-E
FURKAN-Sarıoğlu-1030525721-3,603-1000-249-2-E
DİLAY-Kunt-1030527150-3,603-1001-250-2-K
SEYİT-Uluhan-1030527096-3,6-1009-251-2-E
ERTUĞRUL-Adal-1030525271-3,599-1010-252-2-E
ERDEM-Durmaz-1030525804-3,599-1011-253-2-E
İZZET-Öztonga-1030526685-3,599-1012-254-2-E
KADRİYE-Solmaz-1030526568-3,598-1015-255-2-K
EFE-Demirbaş-1030526852-3,598-1016-256-2-E
İNCİ-Kunt-1030525961-3,595-1021-257-2-K
İPEK-Polat-1030526254-3,595-1022-258-2-K
HALDUN-Taşlı-1030527183-3,592-1027-259-2-E
İBRAHİM-Özgörkey-1030525067-3,589-1031-260-2-E
YONCA-Kocabıyık-1030526925-3,588-1033-261-2-K
SEMİH-Dalkıran-1030525223-3,585-1039-262-2-E
ALMİLA-Ilıcalı-1030527088-3,583-1042-263-2-K
SAİD-Hamzaoğlu-1030525690-3,582-1044-264-2-E
FAZİLET-Oraloğlu-1030526454-3,582-1045-265-2-K
DEFNE-Elmastaşoğlu-1030525230-3,581-1047-266-2-K
HÜSEYİN-Alyanak-1030526285-3,577-1051-267-2-E
NAZİFE-Adıvar-1030527097-3,577-1052-268-2-K
SÜHEYLA-Atan-1030525302-3,573-1060-269-2-K
GÖKÇEN-Tuğlu-1030526960-3,571-1068-270-2-K
HÜSAMEDDİN-Kılıççı-1030526988-3,571-1069-271-2-E
SIRRI-Öztonga-1030526545-3,57-1072-272-2-E
TOPRAK-Sarıoğlu-1030526836-3,57-1073-273-2-E
YUNUSHAN-Kavaklıoğlu-1030526225-3,567-1078-274-2-E
FAHRİ-Akgül-1030526206-3,564-1084-275-2-E
HANDAN-Akay-1030526228-3,562-1088-276-2-K
NURULLAH-Doğan -1030527158-3,562-1089-277-2-E
MURAT-Doğan -1030526156-3,561-1093-278-2-E
VEYSEL-Akbulut-1030525180-3,559-1096-279-2-E
HAMZA-Akman-1030527404-3,559-1097-280-2-E
ÇAĞRI-Kurutluoğlu-1030526137-3,558-1101-281-2-E
SELİM-Kocabıyık-1030526787-3,555-1105-282-2-E
BAŞAK-Akgül-1030526104-3,554-1106-283-2-K
MUSA-Ekici-1030525149-3,549-1122-284-2-E
İLYA-Elmastaşoğlu-1030525159-3,549-1123-285-2-K
VEYSEL-Numanoğlu-1030527089-3,548-1125-286-2-E
DİLAY-Eronat-1030527405-3,547-1126-287-2-K
ÖMER-Tekelioğlu-1030526606-3,546-1129-288-2-E
ABDURRAHMAN-Karaböcek-1030525211-3,543-1136-289-2-E
ÇINAR-Tüzün-1030525301-3,54-1144-290-2-E
CÜNEYT-Durak -1030526369-3,54-1145-291-2-E
RUKİYE-Süleymanoğlu-1030525871-3,539-1147-292-2-K
BUĞRA-Bakırcıoğlu-1030527350-3,539-1148-293-2-E
KAAN-Akgül-1030525968-3,537-1153-294-2-E
MÜCAHİD-Keçeci-1030526110-3,537-1154-295-2-E
BATUHAN-Türkyılmaz-1030526136-3,535-1157-296-2-E
ESRA-Türkyılmaz-1030526772-3,535-1158-297-2-K
TAYFUR-Yalçın-1030525646-3,532-1167-298-2-E
NERGİS-Çamdalı-1030527189-3,532-1168-299-2-K
BAHADIR-Kavaklıoğlu-1030527238-3,529-1175-300-2-E
ATAKAN-Saygıner-1030526335-3,528-1176-301-2-E
HABİBE-Oraloğlu-1030526185-3,526-1179-302-2-K
SİNAN-Yıldırım -1030525087-3,525-1182-303-2-E
GÖZDE-Tokatlıoğlu-1030526057-3,525-1183-304-2-K
NAZİK-Baturalp-1030526675-3,525-1184-305-2-K
MUSA-Nalbantoğlu-1030525837-3,523-1190-306-2-E
ELİF-Erdoğan-1030527296-3,522-1192-307-2-K
ŞULE-Polat-1030526565-3,519-1199-308-2-K
SEZER-Sezek-1030526098-3,517-1205-309-2-E
ÇAĞLAR-Kulaksızoğlu-1030526556-3,516-1207-310-2-E
SÜHEYLA-Sinanoğlu-1030527078-3,513-1215-311-2-K
FEYZA-Adal-1030525716-3,512-1220-312-2-K
YASEMİN-Karaböcek-1030525250-3,51-1224-313-2-K
EYÜP-Demirbaş-1030526975-3,508-1227-314-2-E
MÜCAHİD-Kunt-1030525811-3,507-1230-315-2-E
GÖKHAN-Durak -1030525413-3,505-1232-316-2-E
FAZİLET-Sinanoğlu-1030525426-3,504-1235-317-2-K
SEZER-Gümüşpala-1030527417-3,498-1255-318-2-E
HATİCE-Biçer-1030525097-3,497-1260-319-2-K
HAKKI-Nalbantoğlu-1030526621-3,495-1262-320-2-E
ÇETİN-Körmükçü-1030525812-3,489-1275-321-2-E
HALDUN-Durmaz-1030527327-3,488-1278-322-2-E
ADİLE-Sarıoğlu-1030525602-3,486-1281-323-2-K
FİKRET-Kaya -1030526783-3,486-1282-324-2-E
GÜRBÜZ-Sepetçi-1030525626-3,484-1285-325-2-E
HÜSAMEDDİN-Adal-1030525640-3,483-1287-326-2-E
ŞAHİN-Özkara-1030526618-3,482-1288-327-2-E
MELİSA-Özdenak-1030526734-3,48-1292-328-2-K
NURAN-Oraloğlu-1030526170-3,476-1300-329-2-K
YAHYA-Ekici-1030526731-3,476-1301-330-2-E
SEFANUR-Düşenkalkar-1030526934-3,475-1305-331-2-K
İBRAHİM-Akan-1030526234-3,474-1306-332-2-E
NİHAL-Çatalbaş-1030525503-3,473-1307-333-2-K
EMRAH-Mertoğlu-1030525551-3,473-1308-334-2-E
ASLI-Gönültaş-1030525674-3,473-1309-335-2-K
ERTAN-Kumcuoğlu-1030525697-3,473-1310-336-2-E
YUSUF-Çağıran-1030525761-3,473-1311-337-2-E
HABİBE-Dağlaroğlu-1030526977-3,473-1312-338-2-K
ADEM-Korol-1030525504-3,468-1321-339-2-E
MAHMURE-Karaer-1030525808-3,467-1323-340-2-K
CENGİZ-Sözeri-1030525525-3,464-1328-341-2-E
SEVİL-Tekand-1030525715-3,462-1333-342-2-K
TUNA-Türkdoğan-1030526806-3,461-1336-343-2-E
VEHBİ-Akay-1030525699-3,46-1340-344-2-E
VOLKAN-Kurutluoğlu-1030527004-3,46-1341-345-2-E
CİVAN-Elmastaşoğlu-1030526686-3,458-1347-346-2-E
