GAMZE-Özbir-1030524731-4-1-1-3-K
CANSEL-Polat-1030522756-3,999-3-2-3-K
SİNAN-Koçyiğit-1030523294-3,999-4-3-3-E
NAZİK-Ertürk-1030522897-3,997-7-4-3-K
FAHRİ-Çağıran-1030523784-3,997-8-5-3-E
AYŞE-Atakol-1030522989-3,995-13-6-3-K
BÜŞRA-Yılmazer-1030522676-3,994-16-7-3-K
YUNUS-Kaya -1030524091-3,989-27-8-3-E
HÜSAMEDDİN-Günday-1030522703-3,986-35-9-3-E
DİLEK-Ertürk-1030523371-3,986-36-10-3-K
TAHSİN-Duygulu-1030524058-3,986-37-11-3-E
EMİNE-Kurutluoğlu-1030523012-3,983-42-12-3-K
AYFER-Kulaksızoğlu-1030524343-3,982-44-13-3-K
ECENUR-Okur-1030522685-3,981-47-14-3-K
RUKİYE-Koçyiğit-1030524089-3,98-50-15-3-K
CANSU-Avan-1030524687-3,979-53-16-3-K
YELİZ-Akay-1030522988-3,976-61-17-3-K
ASLI-Alnıaçık-1030523107-3,974-63-18-3-K
BATUHAN-Özdenak-1030524223-3,974-64-19-3-E
ALP-Ertepınar-1030524748-3,974-65-20-3-E
FADİME-Uluhan-1030523639-3,973-67-21-3-K
CANAN-Koyuncu-1030523744-3,968-73-22-3-K
ASLIM-Sadıklar-1030523295-3,966-78-23-3-K
ALİ-Tuğluk-1030523175-3,965-80-24-3-E
FADİME-Ertepınar-1030524513-3,965-81-25-3-K
MİHRİBAN-Keçeci-1030523928-3,964-83-26-3-K
GÖKÇEN-Pekkan-1030524401-3,962-89-27-3-K
HACI-Tuğlu-1030522803-3,961-95-28-3-E
NEŞE-Paksüt-1030522602-3,959-100-29-3-K
HATİCE-Pekkan-1030523224-3,956-105-30-3-K
ŞEVVAL-Tekelioğlu-1030524213-3,956-106-31-3-K
ERTUĞRUL-Babacan-1030523031-3,953-114-32-3-E
TALHA-Erbulak-1030524354-3,952-116-33-3-E
FEYZA-Balcı-1030524806-3,952-117-34-3-K
EDA-Günday-1030523767-3,947-129-35-3-K
FEYZA-Kocabıyık-1030522547-3,946-133-36-3-K
YAHYA-Yeşilkaya-1030522821-3,946-134-37-3-E
GAYE-Akgül-1030523033-3,946-135-38-3-K
SEMA-Adal-1030523380-3,945-138-39-3-K
LATİFE-Eronat-1030524652-3,944-140-40-3-K
GÖNÜL-Ertürk-1030523301-3,943-142-41-3-K
AHSEN-Öztuna-1030523104-3,941-147-42-3-K
ESRA-Tekand-1030524877-3,941-148-43-3-K
BERAT-Ilıcalı-1030523556-3,94-150-44-3-E
NERGİS-Akyüz-1030524171-3,94-151-45-3-K
DEMET-Karaböcek-1030524351-3,94-152-46-3-K
BURHAN-Sepetçi-1030522610-3,939-155-47-3-E
SÜMEYRA-Arslanoğlu-1030522740-3,939-156-48-3-K
YELİZ-Kıraç -1030523523-3,937-160-49-3-K
