CANAN-Çevik-1030522093-3,999-2-1-4-K
GÖZDE-Kasapoğlu-1030522147-3,998-6-2-4-K
BİLGE-Kunt-1030521296-3,996-10-3-4-K
DİLBERAYELA-Tahincioğlu-1030520580-3,995-12-4-4-K
GÜLNİHAL-Erdoğan-1030522335-3,994-15-5-4-K
ARİF-Arıcan-1030520331-3,993-19-6-4-E
GONCA-Sadıklar-1030520877-3,993-20-7-4-K
RESUL-Kasapoğlu-1030521316-3,993-21-8-4-E
HATİCE-Mayhoş-1030521794-3,99-26-9-4-K
ORHAN-Karadaş-1030521350-3,987-31-10-4-E
EMİNE-Tunaboylu-1030522129-3,986-34-11-4-K
EMRULLAH-Kumcuoğlu-1030520509-3,983-41-12-4-E
CUMA-Tuğlu-1030522031-3,979-52-13-4-E
SÜMEYRA-Tokatlıoğlu-1030521459-3,978-55-14-4-K
GÖKÇE-Gümüşpala-1030522301-3,973-66-15-4-K
DİLEK-Adal-1030520055-3,97-71-16-4-K
ÇINAR-Kurutluoğlu-1030521801-3,968-72-17-4-E
CANSU-Uluhan-1030521188-3,963-86-18-4-K
BUĞRA-Kıraç -1030520182-3,962-88-19-4-E
MAHMUT-Türkyılmaz-1030521945-3,959-99-20-4-E
OKTAY-Menemencioğlu-1030520724-3,958-101-21-4-E
SEYİT-Erginsoy-1030520906-3,956-104-22-4-E
HATİCE-Çetiner-1030521979-3,955-109-23-4-K
SEFA-Demirbaş-1030522297-3,949-123-24-4-E
HÜSEYİN-Yılmazer-1030520184-3,948-125-25-4-E
HANDAN-Kavaklıoğlu-1030520436-3,947-128-26-4-K
ESMA-Ağaoğlu-1030520084-3,945-136-27-4-K
GÜLÇİN-Erbulak-1030522267-3,945-137-28-4-K
NAZİFE-Küçükler-1030520589-3,944-139-29-4-K
ÇAĞLAR-Uluhan-1030521906-3,943-141-30-4-E
FAZLI-Kılıççı-1030522346-3,942-143-31-4-E
ŞEYMANUR-Mayhoş-1030521338-3,941-145-32-4-K
NURULLAH-Taşlı-1030522355-3,941-146-33-4-E
İLYA-Hakyemez-1030521387-3,94-149-34-4-K
NAZLI-Tokatlıoğlu-1030520001-3,939-153-35-4-K
HATİCE-Aclan-1030521285-3,939-154-36-4-K
YILDIZ-Erkekli-1030521719-3,937-159-37-4-K
HİLMİ-Topçuoğlu-1030520285-3,935-164-38-4-E
ASLI-Yıldırım -1030521399-3,934-167-39-4-K
TUĞRAN-Küçükler-1030520974-3,933-170-40-4-E
NEŞE-Pektemek-1030520126-3,929-174-41-4-K
GÖZDE-Elmastaşoğlu-1030521077-3,929-175-42-4-K
GÜRBÜZ-Özberk-1030522224-3,929-176-43-4-E
ENES-Uluhan-1030521555-3,927-182-44-4-E
AHU-Çatalbaş-1030521166-3,926-184-45-4-K
FAZİLET-Akay-1030521750-3,925-186-46-4-K
AYLİN-Ekşioğlu-1030521016-3,922-196-47-4-K
VOLKAN-Çatalbaş-1030520573-3,919-200-48-4-E
AYŞE-Doğan -1030520334-3,918-201-49-4-K
MURAT-Ayaydın-1030520539-3,918-202-50-4-E
SÜMEYRA-Çevik-1030522106-3,916-206-51-4-K
NURULLAH-Pektemek-1030521580-3,915-210-52-4-E
FİKRET-Hakyemez-1030521816-3,914-214-53-4-E
İZZET-Çamdalı-1030522386-3,913-215-54-4-E
GÜLBEN-Küçükler-1030520036-3,91-223-55-4-K
SEYİT-Ayaydın-1030520792-3,909-225-56-4-E
SULTAN-Özkök -1030521677-3,906-231-57-4-K
NURULLAH-Korol-1030521912-3,903-242-58-4-E
