GÖKHAN-Hamzaoğlu-1030520000-2,004-0-0-4-E
NAZLI-Tokatlıoğlu-1030520001-3,939-0-0-4-K
ALMİLA-Mayhoş-1030520002-3,689-0-0-4-K
HATİCE-Topaloğlu-1030520003-2,145-0-0-4-K
ELÇİN-Numanoğlu-1030520004-1,508-0-0-4-K
NURAN-Çetiner-1030520005-3,25-0-0-4-K
ERKAN-Balaban-1030520006-1,093-0-0-4-E
AYFER-Günday-1030520007-1,616-0-0-4-K
FİLİZ-Sandalcı-1030520008-3,012-0-0-4-K
SEFA-Öztonga-1030520009-0,45-0-0-4-E
AYFER-Ağaoğlu-1030520010-2,155-0-0-4-K
CEREN-Özberk-1030520011-2,863-0-0-4-K
RAMAZAN-Sadıklar-1030520012-2,14-0-0-4-E
MECNUN-Ozansoy-1030520013-0,132-0-0-4-E
ECE-Nalbantoğlu-1030520014-0,766-0-0-4-K
BERKAN-Poyrazoğlu-1030520015-0,886-0-0-4-E
İREM-Adal-1030520016-3,655-0-0-4-K
CANSEL-Adıvar-1030520017-1,833-0-0-4-K
NİMET-Duygulu-1030520018-2,187-0-0-4-K
İBRAHİM-Dizdar -1030520019-1,04-0-0-4-E
EREN-Kutlay-1030520020-3,571-0-0-4-E
ŞEVVAL-Akgül-1030520021-3,491-0-0-4-K
DESTAN-Babacan-1030520022-3,86-0-0-4-K
YASEMİN-Kunt-1030520023-0,697-0-0-4-K
MİNE-Özkara-1030520024-2,161-0-0-4-K
İREM-Topçuoğlu-1030520025-3,289-0-0-4-K
TAHSİN-Çetin-1030520026-3,566-0-0-4-E
NİHAL-Topaloğlu-1030520027-1,533-0-0-4-K
SEYİT-Özkara-1030520028-1,433-0-0-4-E
NESLİHAN-Pekkan-1030520029-1,624-0-0-4-K
CAN-Kavaklıoğlu-1030520030-0,406-0-0-4-E
HALİL-Yılmazer-1030520031-1,823-0-0-4-E
ALİ-Toraman-1030520032-0,63-0-0-4-E
EFE-Erbulak-1030520033-2,844-0-0-4-E
MEHMET-Demirbaş-1030520034-0,924-0-0-4-E
MAHMURE-Kunt-1030520035-0,756-0-0-4-K
GÜLBEN-Küçükler-1030520036-3,91-0-0-4-K
OKTAY-Özberk-1030520037-1,433-0-0-4-E
ÇAĞRI-Karabulut-1030520038-2,808-0-0-4-E
HALDUN-Dalkıran-1030520039-3,571-0-0-4-E
NAZLI-Bakırcıoğlu-1030520040-1,164-0-0-4-K
GÖKÇE-Kunter-1030520041-0-0-0-4-K
BEGÜM-Mayhoş-1030520042-3,777-0-0-4-K
AYFER-Polat-1030520043-3,005-0-0-4-K
AYLİN-Topaloğlu-1030520044-2,434-0-0-4-K
PINAR-Korol-1030520045-0,412-0-0-4-K
ÇAĞRI-Erberk-1030520046-3,853-0-0-4-E
ÇİCEK-Kulaksızoğlu-1030520047-0,965-0-0-4-K
DİDEM-Kutlay-1030520048-2,729-0-0-4-K
AYŞE-Arıcan-1030520049-3,712-0-0-4-K
ÇİCEK-Beşerler-1030520050-0,41-0-0-4-K
ABDURRAHMAN-Alpuğan-1030520051-3,536-0-0-4-E
ÇİLENAY-Tokatlıoğlu-1030520052-0,692-0-0-4-K
BUĞRA-Ekici-1030520053-1,372-0-0-4-E
MAHMUT-Ertürk-1030520054-1,959-0-0-4-E
DİLEK-Adal-1030520055-3,97-0-0-4-K
AYŞE-Akbulut-1030520056-0,937-0-0-4-K
GÜRBÜZ-Akman-1030520057-3,356-0-0-4-E
HİLAL-Yazıcı-1030520058-0,546-0-0-4-K
DERVİŞ-Polat-1030520059-2,985-0-0-4-E
SİBEL-Körmükçü-1030520060-1,05-0-0-4-K
SUZAN-Egeli-1030520061-3,274-0-0-4-K
AYLİN-Tütüncü-1030520062-2,743-0-0-4-K
YEŞİM-Velioğlu-1030520063-2,959-0-0-4-K
BERFİN-Topaloğlu-1030520064-0,242-0-0-4-K
PELİN-Sezek-1030520065-3,293-0-0-4-K
HABİBE-Özbey-1030520066-0,031-0-0-4-K
ŞULE-Saygıner-1030520067-0,824-0-0-4-K
ALPEREN-Akgül-1030520068-3,757-0-0-4-E
GÜLNAZ-Aşıkoğlu-1030520069-2,02-0-0-4-K
ALPEREN-Akay-1030520070-0,023-0-0-4-E
YUSUF-Adal-1030520071-3,119-0-0-4-E
